"Joseph J. Moseley, Ii",Gregory I. Mitchell,Lashonda Curry,Keiana Barrett,Flora ''Flo'' Digby,Natashia L. Holmes,Bernie Riley,Margie Reid,prec_id
17,22,36,32,22,65,2,5,C01007
9,48,35,29,8,46,4,3,C02007
7,27,35,54,35,81,3,4,C03007
5,48,23,44,60,51,2,1,C04007
8,42,27,48,26,65,4,3,C05007
9,46,20,109,23,71,4,2,C06007
9,27,18,29,27,59,3,1,C07007
12,13,16,62,30,86,3,7,C08007
22,32,47,114,77,125,5,9,C09007
9,46,28,60,49,62,3,0,C10007
17,30,21,51,21,88,6,5,C11007
15,13,20,54,28,62,5,6,C12007
15,13,19,48,20,59,2,12,C13007
15,28,36,62,19,58,11,5,C14007
19,26,28,47,88,51,6,7,C15007
8,31,22,25,17,59,2,3,C16007
8,36,7,37,22,51,5,5,C17007
15,19,36,47,11,49,6,6,C18007
13,19,25,48,39,57,2,9,C19007
14,28,26,35,12,30,0,17,C20007
7,24,27,36,18,32,4,18,C21007
10,32,24,68,8,40,3,13,C22007
25,43,48,51,40,43,2,12,C23007
39,39,32,35,15,44,2,32,C24007
17,12,25,52,7,45,2,38,C25007
17,32,52,13,30,53,2,3,C26007
23,38,38,36,11,61,4,2,C27007
17,14,28,40,11,43,4,15,C28007
15,51,32,26,13,58,3,12,C29007
18,20,23,27,13,48,4,14,C30007
11,46,15,14,13,27,0,12,C31007
78,96,37,63,32,73,0,3,C32007
29,116,34,63,28,88,3,4,C33007
22,83,49,36,29,79,4,7,C34007
14,73,24,27,21,62,4,10,C35007
29,83,48,33,43,61,1,7,C36007
20,76,40,48,19,73,1,11,C37007
15,54,24,19,18,43,1,2,C38007
4,74,20,32,21,60,2,1,C39007
11,120,16,29,10,58,0,1,C40007
9,106,26,11,12,49,0,2,C41007
19,86,33,21,20,32,0,0,C42007
17,75,35,28,22,56,0,4,C43007
16,45,38,29,15,44,1,8,C44007
30,47,21,32,35,47,0,4,C45007
3,6,19,19,5,48,0,17,C46007
