Michelle A. Harris,Faheem Shabazz,Tara F. Baldridge,prec_id
117,35,22,C01008
137,34,39,C02008
234,21,67,C03008
241,30,24,C04008
213,54,66,C05008
167,42,51,C06008
217,72,28,C07008
203,26,68,C08008
122,44,12,C09008
232,44,78,C10008
181,48,19,C11008
139,48,37,C12008
166,77,34,C13008
75,29,19,C14008
168,25,20,C15008
46,14,7,C16008
186,27,30,C17008
149,29,21,C18008
238,44,59,C19008
186,54,38,C20008
154,52,70,C21008
155,52,26,C22008
139,26,37,C23008
88,61,17,C24008
162,23,37,C25008
174,20,27,C26008
199,47,51,C27008
187,48,35,C28008
178,51,52,C29008
191,37,50,C30008
137,27,36,C31008
177,24,14,C32008
145,28,75,C33008
174,48,32,C34008
180,31,93,C35008
202,54,19,C36008
155,53,39,C37008
104,39,28,C38008
204,36,23,C39008
121,25,42,C40008
166,47,39,C41008
216,55,35,C42008
82,24,9,C43008
138,19,20,C44008
120,21,35,C45008
119,62,13,C46008
171,28,21,C47008
137,38,37,C48008
186,31,45,C49008
231,30,40,C50008
176,36,74,C51008
260,39,61,C52008
88,42,20,C53008
107,28,27,C54008
125,19,16,C55008
202,15,62,C56008
