Roberto Maldonado,Adam Corona,Juanita Irizarry,prec_id
71,23,64,C01026
80,37,49,C02026
68,23,67,C03026
102,11,26,C04026
68,23,54,C05026
102,24,36,C06026
33,11,74,C07026
54,8,19,C08026
96,23,43,C09026
61,26,60,C10026
103,13,57,C11026
91,19,56,C12026
61,17,27,C13026
48,14,47,C14026
47,8,26,C15026
68,8,17,C16026
73,21,61,C17026
100,9,41,C18026
67,6,23,C19026
91,15,56,C20026
96,32,81,C21026
69,15,21,C22026
74,6,26,C23026
100,3,54,C24026
80,29,50,C25026
30,16,44,C26026
83,50,49,C27026
82,51,83,C28026
44,1,41,C29026
65,18,47,C30026
75,10,12,C31026
65,33,68,C32026
89,12,60,C33026
96,22,72,C34026
104,20,60,C35026
52,27,64,C36026
76,8,64,C37026
60,6,34,C38026
63,28,75,C39026
40,12,24,C40026
92,54,58,C41026
58,21,56,C42026
53,12,26,C43026
67,12,17,C44026
36,10,12,C45026
40,22,33,C46026
69,14,33,C47026
53,31,63,C48026
71,5,18,C49026
