Marvin Mcneil,Jeffrey Baker,"Howard B. Brookins, Jr.","Joseph C. Ziegler, Jr.",Doris Lewis Brooks,Patricia A. Foster,Ken Lewis,prec_id
25,9,134,19,77,16,5,C01021
57,24,63,14,9,11,2,C02021
34,4,118,45,19,28,14,C03021
78,17,81,11,17,29,1,C04021
63,16,125,27,38,19,6,C05021
53,11,74,18,23,23,21,C06021
22,3,107,97,45,15,1,C07021
29,3,98,15,23,16,74,C08021
21,6,93,138,27,14,11,C09021
21,3,86,16,23,12,86,C10021
39,71,86,23,15,12,2,C11021
34,48,97,21,20,14,2,C12021
8,10,83,39,26,28,3,C13021
37,9,152,34,29,18,39,C14021
28,2,81,28,28,33,1,C15021
19,11,96,29,20,33,25,C16021
42,11,86,16,23,24,9,C17021
27,8,127,29,21,25,34,C18021
29,3,137,15,21,30,34,C19021
22,8,83,26,57,29,7,C20021
29,6,82,15,51,17,8,C21021
18,15,88,26,37,14,53,C22021
41,15,103,33,26,21,6,C23021
24,19,137,23,30,17,4,C24021
30,13,128,28,33,15,2,C25021
39,3,80,31,17,46,3,C26021
69,20,105,26,19,20,2,C27021
53,12,114,29,30,51,9,C28021
35,10,108,45,25,22,9,C29021
8,12,66,18,19,57,2,C30021
32,21,82,17,31,8,3,C31021
27,9,111,21,15,21,33,C32021
26,10,106,28,35,19,10,C33021
50,24,82,22,18,31,4,C34021
73,16,96,20,39,21,8,C35021
31,5,98,14,28,19,80,C36021
22,9,102,27,41,15,7,C37021
29,8,84,13,26,23,6,C38021
41,11,81,5,24,17,7,C39021
39,18,102,14,23,11,2,C40021
25,4,140,31,42,15,4,C41021
24,7,103,18,38,17,80,C42021
52,13,94,9,33,41,5,C43021
46,41,106,13,28,14,7,C44021
36,7,104,23,38,26,11,C45021
39,16,118,29,29,25,9,C46021
11,10,71,13,18,90,0,C47021
9,11,100,24,21,59,27,C48021
38,9,114,25,27,19,47,C49021
26,8,89,9,37,25,22,C50021
50,5,136,17,41,30,2,C51021
17,10,120,23,24,65,2,C52021
43,12,100,15,0,15,4,C53021
18,9,97,12,25,30,7,C54021
