Patrick J. O'Connor,Dianne Daleiden,prec_id
137,69,C01040
151,76,C02040
133,119,C03040
117,51,C04040
155,96,C05040
130,124,C06040
155,130,C07040
132,164,C08040
146,55,C09040
164,70,C10040
200,87,C11040
97,60,C12040
137,139,C13040
138,53,C14040
150,73,C15040
132,140,C16040
149,83,C17040
109,64,C18040
225,89,C19040
143,65,C20040
138,166,C21040
106,113,C22040
160,153,C23040
141,51,C24040
113,141,C25040
142,144,C26040
185,138,C27040
135,141,C28040
193,98,C29040
247,84,C30040
124,155,C31040
144,137,C32040
136,138,C33040
189,70,C34040
111,63,C35040
123,114,C36040
135,112,C37040
134,148,C38040
45,16,C39040
