Lona Lane,Derrick G. Curtis,Michael A. Davis,Chuks Onyezia,Consandra Harris,Brandon Loggins,prec_id
46,76,20,23,3,5,C01018
72,49,27,34,1,12,C02018
46,54,29,97,1,3,C03018
96,53,89,29,5,4,C04018
49,81,26,9,9,9,C05018
50,49,33,76,4,5,C06018
74,109,31,37,5,6,C07018
82,76,47,62,9,2,C08018
69,48,103,49,6,1,C09018
104,127,57,58,5,4,C10018
60,66,19,40,4,4,C11018
82,99,35,22,3,1,C12018
69,107,25,61,18,5,C13018
82,74,55,37,5,1,C14018
77,27,32,32,18,69,C15018
69,62,63,55,7,3,C16018
71,106,27,27,6,3,C17018
104,84,46,21,7,7,C18018
126,61,54,18,7,9,C19018
84,68,42,15,9,10,C20018
87,145,37,60,6,4,C21018
121,55,98,42,9,8,C22018
36,68,19,53,10,5,C23018
77,47,16,46,9,2,C24018
50,45,36,75,5,2,C25018
129,48,72,85,10,2,C26018
28,87,38,18,4,9,C27018
46,59,32,92,4,2,C28018
86,63,27,39,7,1,C29018
50,38,45,73,6,6,C30018
58,113,37,34,9,3,C31018
90,93,44,21,13,5,C32018
39,129,20,6,7,5,C33018
146,68,66,81,17,2,C34018
117,79,56,68,4,2,C35018
75,82,23,45,3,3,C36018
69,66,70,69,12,2,C37018
119,57,45,25,6,8,C38018
42,61,34,15,7,2,C39018
57,72,51,80,8,11,C40018
125,63,48,55,3,3,C41018
67,71,24,20,11,2,C42018
38,48,26,45,8,10,C43018
75,56,27,75,1,1,C44018
65,79,24,24,10,13,C45018
43,90,32,53,17,9,C46018
37,70,28,11,4,4,C47018
44,82,39,6,5,10,C48018
49,64,25,9,3,6,C49018
48,89,22,12,1,5,C50018
