Ed Hershey,Daniel ''Danny'' Solis,Jorge Mujica,Roberto ''Beto'' Montano,Byron Sigcho,prec_id
23,100,34,32,44,C01025
13,90,55,38,47,C02025
23,101,20,15,31,C03025
9,109,5,10,50,C04025
22,100,40,30,48,C05025
6,81,1,3,14,C06025
11,97,58,28,69,C07025
24,109,36,44,48,C08025
20,124,30,36,66,C09025
16,102,9,13,26,C10025
16,86,62,34,73,C11025
19,92,39,33,61,C12025
30,120,26,19,79,C13025
12,131,8,19,11,C14025
13,162,37,15,36,C15025
35,79,0,15,30,C16025
25,132,39,39,54,C17025
12,220,8,12,40,C18025
17,106,50,27,68,C19025
17,143,2,20,4,C20025
29,156,11,23,17,C21025
30,103,43,25,49,C22025
12,117,58,28,80,C23025
12,100,56,23,72,C24025
21,189,10,17,15,C25025
33,109,39,29,53,C26025
26,89,13,11,19,C27025
15,105,54,36,60,C28025
16,186,9,22,13,C29025
23,116,33,28,36,C30025
20,110,4,12,25,C31025
14,147,18,12,45,C32025
