Joann Thompson,Cynthia Lomax,Toni L. Foulkes,Jose A. Garcia,Stephanie Coleman,prec_id
2,6,60,106,6,C01016
3,3,75,31,77,C02016
8,12,97,10,37,C03016
1,14,110,14,33,C04016
2,10,58,11,64,C05016
1,11,129,11,30,C06016
9,5,43,27,78,C07016
0,2,47,10,54,C08016
1,21,69,7,102,C09016
5,9,82,13,72,C10016
3,7,59,54,32,C11016
3,5,44,15,58,C12016
2,5,61,56,15,C13016
1,5,42,5,96,C14016
10,8,67,12,90,C15016
6,17,114,8,45,C16016
1,6,57,54,24,C17016
2,9,87,51,43,C18016
2,6,74,24,56,C19016
7,9,44,1,92,C20016
4,7,93,6,36,C21016
2,4,87,12,33,C22016
0,2,35,77,34,C23016
1,10,72,9,34,C24016
7,10,77,7,113,C25016
7,4,42,11,115,C26016
3,6,65,3,73,C27016
2,8,114,8,72,C28016
1,40,82,3,37,C29016
3,21,60,14,69,C30016
1,8,91,3,119,C31016
3,1,27,94,22,C32016
3,33,111,5,57,C33016
2,17,85,5,74,C34016
0,9,58,46,29,C35016
7,7,53,7,75,C36016
