Mark Thomas,Tom Tunney,Scott Davis,prec_id
88,246,27,C01044
46,117,39,C02044
30,224,11,C03044
45,242,12,C04044
53,134,20,C05044
43,153,17,C06044
43,171,17,C07044
53,180,16,C08044
37,103,23,C09044
42,100,14,C10044
42,123,35,C11044
50,182,25,C12044
44,102,19,C13044
38,106,18,C14044
50,130,21,C15044
54,135,32,C16044
65,202,31,C17044
37,155,4,C18044
105,158,18,C19044
47,86,9,C20044
57,148,15,C21044
63,198,19,C22044
36,108,16,C23044
93,177,14,C24044
35,122,30,C25044
60,112,29,C26044
40,155,24,C27044
66,155,15,C28044
38,136,15,C29044
37,137,27,C30044
42,121,23,C31044
62,151,39,C32044
54,134,15,C33044
56,173,38,C34044
70,248,18,C35044
51,126,15,C36044
85,149,25,C37044
61,104,21,C38044
46,106,12,C39044
37,158,23,C40044
52,159,13,C41044
