Pat Dowell,Patricia Horton,prec_id
183,106,C01003
356,65,C02003
224,52,C03003
215,72,C04003
133,57,C05003
187,59,C06003
206,59,C07003
132,57,C08003
203,86,C09003
105,46,C10003
160,85,C11003
252,74,C12003
262,33,C13003
131,52,C14003
138,94,C15003
154,79,C16003
173,69,C17003
246,84,C18003
151,53,C19003
188,68,C20003
194,70,C21003
163,52,C22003
152,85,C23003
161,83,C24003
198,65,C25003
258,72,C26003
154,56,C27003
206,38,C28003
164,108,C29003
199,86,C30003
217,77,C31003
170,62,C32003
129,45,C33003
193,81,C34003
75,43,C35003
69,67,C36003
165,48,C37003
241,67,C38003
143,47,C39003
189,97,C40003
202,69,C41003
